Video Kaynağı,Yorum ID,Üst Yorum ID,Yorum Yapan Kişi,Yanıtlanan Kişi,Yorum Metni,Beğeni Sayısı,Tarih,Yanıt Mı?
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKHP7vDvvS,UgwpIewk5MUD-kiZuTB4AaABAg,@Elif-823,@ezoskilyrics_3004,Benim şahsen favori konuklu videom oldu dertleşme kısmı çok güzeldi,22,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKOPFomRES,UgwpIewk5MUD-kiZuTB4AaABAg,@besraaslan3879,@ezoskilyrics_3004,Ölücem gülmeketen harbiden ölücem evde tekim ve yemek yiyerek izliyorum birazdan boğazımdam kalıcak neden öldü diye sorarlarsa açık mutfak izliyordu dersiniz,14,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEK_7zJeLp2,UgwpIewk5MUD-kiZuTB4AaABAg,@gultenkoc8954,@ezoskilyrics_3004,Açık mutfak katarsis izledik😂,4,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAELHcrK5H8J,UgwpIewk5MUD-kiZuTB4AaABAg,@zyk.10,@ezoskilyrics_3004,Heyecanın çok tatlıydı üzülme 🤍,4,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAELxdCTZtnx,UgwpIewk5MUD-kiZuTB4AaABAg,@paradisegarden1987,@ezoskilyrics_3004,Tuğbacım gerçekten çok tatlısın kalbının güzelliği yüzüne yansımış en çok güldüğüm video abartmıyorum 😂❤🎉,3,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKI7EEJ7fG,UgwpIewk5MUD-kiZuTB4AaABAg,@1903seviliyon,@ezoskilyrics_3004,😂😂😂😂,2,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKZUI0KxRm,UgwpIewk5MUD-kiZuTB4AaABAg,@Fatmanur-l1i,@ezoskilyrics_3004,Aşırı komiksin 😂 Allah affetsin baban senle dalga geçer gibi herşey den  vazgeçirmiş ❤❤😂😂😊,2,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEPhysswr-h,UgwpIewk5MUD-kiZuTB4AaABAg,@baymağaraadamı,@ezoskilyrics_3004,Abla çok tatlısın çok iyisin seni çok seviyorum,2,1 yıl önce (düzenlendi),Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEVBOkihO83,UgwpIewk5MUD-kiZuTB4AaABAg,@sngnesma,@ezoskilyrics_3004,Tugba sana hayranim bayiliyorum cgh de ekranda beni heyecanlandiran skeci çıkınca merak ettiren tek kadin oyuncusun enerjin dogalligina asigim ama burda gercek hayatta bu kadar utanip cekiniyor olmana sasirdim halbuki tv de döktürüyorsun harikasin ❤,2,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEYCKusWS4S,UgwpIewk5MUD-kiZuTB4AaABAg,@Elifnurr1903,@ezoskilyrics_3004,Öldüm gülmekten dhsjsjsjdj kumpir olayı bitirdi beni 😂😂,2,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAE_M9m4vNpj,UgwpIewk5MUD-kiZuTB4AaABAg,@Mılehh-1,@ezoskilyrics_3004,Tugba ❤,2,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKIasGJekZ,UgwpIewk5MUD-kiZuTB4AaABAg,@Nur-kf9pu,@ezoskilyrics_3004,Memleketlimmm😘,1,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKIct6l9fV,UgwpIewk5MUD-kiZuTB4AaABAg,@derishh46,@ezoskilyrics_3004,Anlamadım anlatin,1,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKVDO2mFLT,UgwpIewk5MUD-kiZuTB4AaABAg,@uwswuwyauso88,@ezoskilyrics_3004,Yaaaa çok iyi ve güzel din😂 1:13:35,1,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKfcW3qA95,UgwpIewk5MUD-kiZuTB4AaABAg,@Nissyss,@ezoskilyrics_3004,😊ü,1,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEMD8ncMzZU,UgwpIewk5MUD-kiZuTB4AaABAg,@busrau.5559,@ezoskilyrics_3004,Gözlerimden yaş geldi dinlerken 😅,1,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEOz0XwqtFA,UgwpIewk5MUD-kiZuTB4AaABAg,@BUGLEMOzdemir-yb3px,@ezoskilyrics_3004,ABLA BENDE GAZIANTEPLIYIMMMN,1,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEQFjpNAN2y,UgwpIewk5MUD-kiZuTB4AaABAg,@darkqueen695,@ezoskilyrics_3004,Niye bu kadar tatlısınnnn,1,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEShuuwpYjw,UgwpIewk5MUD-kiZuTB4AaABAg,@yarenargun1088,@ezoskilyrics_3004,abla çok komiksin,1,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEUHvtX2NY7,UgwpIewk5MUD-kiZuTB4AaABAg,@emrecan0636,@ezoskilyrics_3004,Türkçe gruptan ayrıldı😂,1,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAFfzD02hiJl,UgwpIewk5MUD-kiZuTB4AaABAg,@cicekgok,@ezoskilyrics_3004,😂😂😂❤,1,1 yıl önce,Evet
