Video Kaynağı,Yorum ID,Üst Yorum ID,Yorum Yapan Kişi,Yanıtlanan Kişi,Yorum Metni,Beğeni Sayısı,Tarih,Yanıt Mı?
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugz4N_doHJ87h0UIjD14AaABAg,,@arzuzuzu61,,En çok beğendiğim programdı ...uzun zamandır bu kadar güldüğümü hatırlamıyorum 👏🏼👏🏼👏🏼❤️,0,23 saat önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgzSOnoiwmG0MR_r3Rh4AaABAg,,@Ruveysa,,Bu programı hiçbir zaman izleyip de bu kadar zevk almamıştım hep yarıda kapatırdım helal olsun enis sana,0,1 gün önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgyC52k2Vd5bYL_jYz54AaABAg,,@merveyldrmm1168,,O kadar güldüm ki anlatamam😅😂,0,3 gün önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwoNzsgAh3FhtRK-kx4AaABAg,,@fatmaaggungor,,YIKILLLLLDIIIIMMM 😂😂😂😂 ÇOKKKK İYİİİİ!!!!,2,4 gün önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgzVwb8hHTSXkPsURmV4AaABAg,,@mahlaagheli,,"Estağfurullah x1000
😂😂😂😂😂😂",0,2 gün önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxWnjSVVAuqYQ5y2Nx4AaABAg,,@yagmuryagmur2270,,Şu ana kadar izlediğim en iyi bir saat yirmi dakikaydı. Ciddi söylüyorum ennnn iyiii ennnn iyi ya gülmekten yorulur mu insan. Melis gibi ben de bir süre devam edemedim. inanılmazdı. Uzun zamandır ne kadar gülemediysem o kadar güldüm. Gülmekten içim dışıma çıktı. Hem melise hem enise hem de bu güzel ekibe çok ama çok teşekkürler. Hep var olun 🤍🤍🤍 şimdi ikinci kez izlemeye gidiyorum…,0,2 gün önce (düzenlendi),Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgzyLgVBO1m-hdFcxX94AaABAg,,@DidemKopçacı,,Gülmekten bazı yerlerini durdurup sakinleşip devam ettim.. inanılmaz bir programdı ba yıl dımmmmm🫠💗,0,1 gün önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwCsTWjA2w-MNlhBzZ4AaABAg,,@sukriyepeksoy5180,,dalağım ağrıdı yemin ederim :),0,2 gün önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugxcyb5BhraUsuHSHNZ4AaABAg,,@burcutopuz6962,,Yaaa Enis yaaa ❤ ❤❤,0,2 gün önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugyb0eba7lybvxkab2Z4AaABAg,,@ebrarrr22,,nefes alamadım ya of patladım,0,6 saat önce,Hayır
